obs,time,elapsed,date,plot,plant,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Fo,Fm,Fv,Fv/Fm,Adark,LightAdaptedID,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,Afs,ETR,Fv'/Fm',PhiCO2,NPQ,DarkPulseID,Fo',Fv',qP,qN,qP_Fo,qN_Fo,Qin,Qabs,alpha,convert,S,K,Geometry,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,¦¤Pcham,Tair,Tleaf,Tleaf2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1513614617,0,20171218 10:30:16,1,1,1513614617,0.004572625,24.73811837,377.242,231.2126048,23.48060522,38.3104999,0.304371767,2.28138194,0.283478062,0.178931342,289.4839762,27.59812653,26.008,3.375856097,49.87218965,1.779320536,3.567761008,1.596535561,-201.6527598,115.3313455,10.85303993,214.0156018,-0.04203399,0.047186836,3.511484563,310,44,1,0,53613.25785,RECT-1241-20171205-12_54_10,710.75,3267.12,2556.37,0.782453659,-3.251997869,RECT-1242-20171205-13_04_35,840.8503846,1159.13,0.274584917,0.5,1513.0872,24.73811837,207.735462,0.474260868,0.01849868,1.818596706,DARK-1243-20171205-13_04_37,609.4,549.73,0.578974434,0.793157293,0.709843471,0.824602855,1799.88,1513.0872,0.840660044,0.191320088,6,0.5,0: Broadleaf,1513614617,377.242,399.921,17.5209,13.6708,700.113,101.532,0.0221745,26.9457,26.008,999.9,9983.75,0,299.558,1799.88,0.977989,0.022011,0,840.133,1.00007,15502,14643.1,40.375,41.75,40.875,41.437,42.375,1759.28,39.6,0,624.7,840.8503846,-1.453333315,-195.0769231,15550.29231,15,100,100,-3.597,0.008,2,381.395,712.766,25.0011,22.7444,30.0006,22.4512,22.3482,25.4163,38.7892,0,25,400,13.6523,103.501,100.78
2,1513614731,114,20171218 10:32:10,1,1,1513614731,0.004716209,18.1379358,283.332,177.5966274,18.03616243,28.7743188,0.309581934,2.28351927,0.28801269,0.181820457,289.5243484,27.79574457,26.2524,3.424984035,49.86424273,1.804808243,3.619443802,1.620175792,-207.9848317,115.51326,10.88662695,207.9394036,-0.042092295,0.047252289,3.515328169,308,44,1,0,53640.80695,RECT-1241-20171205-12_54_10,710.75,3267.12,2556.37,0.782453659,-3.251997869,RECT-1244-20171205-13_06_29,798.1234615,1070.6,0.254508256,0.5,1513.305,18.1379358,192.5743079,0.446665421,0.014134582,2.05167196,DARK-1245-20171205-13_06_31,592.4,478.2,0.569796191,0.821214931,0.757194771,0.859233992,1800.14,1513.305,0.840659615,0.191319231,6,0.5,0: Broadleaf,1513614731,283.332,300.027,17.7714,13.8001,699.881,101.533,0.0238972,27.1907,26.2524,999.9,9997.5,0,297.31,1800.14,0.977999,0.0220008,0,797.547,1.00007,14740.7,14645.3,40.812,42.187,41.25,41.875,42.75,1759.56,39.58,0,113.6000001,798.1234615,-4.102153878,-111.9829064,14746.62692,15,100,100,-3.546,0.006,2,384.11,711.558,25.0019,22.923,30.0006,22.6221,22.5155,20.1947,39.7737,0,25,300,13.7082,103.473,100.757
3,1513614886,269,20171218 10:34:45,1,1,1513614886,0.004972853,10.80553453,189.925,127.598113,12.95745404,19.2866838,0.317216824,2.284847411,0.294624353,0.186035801,289.5158066,28.10854334,26.6891,3.514323036,49.81721943,1.845550566,3.704643871,1.668772469,-219.3027965,110.7271255,10.47307819,191.4132138,-0.042128552,0.047292991,3.517717351,304,43,1,0,53613.98893,RECT-1241-20171205-12_54_10,710.75,3267.12,2556.37,0.782453659,-3.251997869,RECT-1246-20171205-13_09_04,778.1266154,1008.67,0.228561754,0.5,1513.2627,10.80553453,172.9369886,0.42359741,0.009289552,2.239037544,DARK-1247-20171205-13_09_06,581.4,427.27,0.539573068,0.840910445,0.773843262,0.88345975,1800.09,1513.2627,0.840659467,0.191318934,6,0.5,0: Broadleaf,1513614886,189.925,199.996,18.174,13.9892,700.03,101.525,0.0239472,27.588,26.6891,999.9,10006.9,0,304.614,1800.09,0.978006,0.021994,0,778.236,1.00007,14414.1,14644.9,41.375,42.875,41.875,42.562,43.375,1759.52,39.57,0,154.5999999,778.1266154,0.767179506,-112.1470084,14422.38846,15,100,100,-3.094,0.01,2,388.338,710.135,25.0023,23.2402,30.0009,22.9194,22.8148,14.6962,41.2827,0,25,200,13.952,103.424,100.721
4,1513615008,391,20171218 10:36:47,1,1,1513615008,0.005263165,3.023934032,96.9793,78.88290994,8.010456034,9.848120707,0.329362544,2.279136538,0.30502183,0.192675441,289.4791758,28.335609,27.0532,3.590358283,49.94574345,1.885373257,3.774842712,1.704985026,-232.1055719,105.2036991,10.00979319,172.5870963,-0.041972792,0.047118136,3.507448227,299,43,1,0,53366.71299,RECT-1241-20171205-12_54_10,710.75,3267.12,2556.37,0.782453659,-3.251997869,RECT-1248-20171205-13_11_06,770.8055,957.616,0.195078716,0.5,1513.061993,3.023934032,147.5830957,0.390361063,0.004147835,2.411722444,DARK-1249-20171205-13_11_08,583.8,373.816,0.499739176,0.860688997,0.756728347,0.903431037,1799.85,1513.061993,0.840660051,0.191320103,6,0.5,0: Broadleaf,1513615008,96.9793,100.009,18.5662,14.1383,699.941,101.524,0.0246883,27.9094,27.0532,999.9,9970,0,258.333,1799.85,0.977989,0.0220115,0,771.281,1.00007,14181.8,14642.9,41.937,43.5,42.437,43.187,43.937,1759.26,39.6,0,121.3,770.8055,0.599145312,-650.1572619,14300.30385,15,100,100,-2.596,0.012,2,393.039,708.376,25.0018,23.5374,30.0011,23.196,23.0895,8.97621,42.6671,0,25,100,14.057,103.379,100.679
5,1513615127,510,20171218 10:38:46,1,1,1513615127,0.005361913,-0.914404363,50.5697,53.73937121,5.456793241,5.134939076,0.343210394,2.282424296,0.316902391,0.200259351,289.5025663,28.21844334,26.8767,3.553322219,50.08245417,1.881234727,3.756275044,1.672087492,-236.4603466,116.6760656,11.07092895,180.7892142,-0.042062419,0.04721875,3.513358866,298,43,1,0,53490.95315,RECT-1241-20171205-12_54_10,710.75,3267.12,2556.37,0.782453659,-3.251997869,RECT-1250-20171205-13_13_05,771.6943846,928.064,0.168490121,0.5,1513.1877,-0.914404363,127.4785891,0.381508172,0.001544814,2.520360665,DARK-1251-20171205-13_13_07,574,354.064,0.441642232,0.868530181,0.719556105,0.914991179,1800,1513.1877,0.840659833,0.191319667,6,0.5,0: Broadleaf,1513615127,50.5697,50.0183,18.5267,14.0156,699.95,101.518,0.0238141,27.8249,26.8767,999.9,9991.88,0,326.081,1800,0.977992,0.0220081,0,771.318,1.00007,14261.6,14644.1,42.25,43.687,42.75,43.375,44.187,1759.41,39.59,0,118.3,771.6943846,1.979965817,-326.5299145,14316.73846,15,100,100,-2.544,0.011,2,394.35,705.551,25.0003,23.8214,30.0007,23.475,23.3622,6.08506,44.6806,0,25,50,13.9467,103.327,100.633
6,1513615287,670.5,20171218 10:41:27,1,1,1513615287,0.005390857,26.95195718,375.186,239.3654377,24.30739441,38.09987845,0.36231043,2.283107707,0.333134123,0.210634062,289.4935521,27.84052346,26.4112,3.457238733,50.51178901,1.85694079,3.67625227,1.600297943,-237.7368148,128.6627394,12.15389184,192.5733685,-0.042081064,0.047239681,3.51458793,293,42,1,0,53579.46441,RECT-1241-20171205-12_54_10,710.75,3267.12,2556.37,0.782453659,-3.251997869,RECT-1252-20171205-13_15_46,841.3228462,1155.74,0.272048345,0.5,1513.1376,26.95195718,205.8232896,0.484313081,0.019961142,1.826864174,DARK-1253-20171205-13_15_48,596,559.74,0.561720002,0.790447453,0.70657128,0.825928954,1799.94,1513.1376,0.840660022,0.191320044,6,0.5,0: Broadleaf,1513615287,375.186,400.02,18.2861,13.7501,700.037,101.525,0.0243074,27.4565,26.4112,999.9,9995.62,0,164.306,1799.94,0.977989,0.0220115,0,840.177,1.00007,15398.7,14643.6,42.312,43.562,42.875,43.312,44.25,1759.34,39.6,0,159.7,841.3228462,-4.007316261,-69.16581209,15408.10385,15,100,100,-3.575,0.009,2,400.017,705.078,24.9966,23.9913,30.0002,23.6895,23.5794,25.3412,47.0662,0,25,400,13.5988,103.297,100.603
7,1513615410,793,20171218 10:43:29,1,1,1513615410,0.005224151,27.50887171,374.707,239.9052158,24.36362195,38.05344399,0.372179353,2.28540129,0.341492176,0.215978485,289.5126146,27.20357303,25.5778,3.290873537,50.31188801,1.776037944,3.530056244,1.514835593,-230.3850429,146.2755701,13.69879827,219.1019402,-0.042143679,0.047309971,3.518713893,293,42,1,0,53779.80402,RECT-1241-20171205-12_54_10,710.75,3267.12,2556.37,0.782453659,-3.251997869,RECT-1254-20171205-13_17_48,829.7272308,1147.66,0.277026967,0.5,1513.2459,27.50887171,209.6049612,0.485561926,0.02032774,1.846766464,DARK-1255-20171205-13_17_50,590.4,557.26,0.570528603,0.791812367,0.727684807,0.829089686,1800.07,1513.2459,0.840659474,0.191318949,6,0.5,0: Broadleaf,1513615410,374.707,399.962,17.4884,13.0892,700.053,101.53,0.0251991,26.765,25.5778,999.9,10010,0,35.5527,1800.07,0.978006,0.021994,0,829.838,1.00007,15188,14644.7,41.875,42.75,42.437,42.5,43.75,1759.5,39.57,0,122.2,829.7272308,1.548376058,-10.5914529,15185.44615,15,100,100,-3.602,0.002,2,400.127,703.619,24.9969,23.8944,29.9998,23.6858,23.5836,25.3068,50.2942,0,25,400,13.0226,103.307,100.614
8,1513615566,949,20171218 10:46:05,1,1,1513615566,0.005215787,40.91018887,562.41,363.1944676,36.88142577,57.1112297,0.374979749,2.283367362,0.343824446,0.217473338,289.4780646,27.0200825,25.3616,3.248875051,50.01534015,1.746299152,3.491527093,1.502575899,-230.0162081,149.8137968,14.01432867,223.289982,-0.04208815,0.047247635,3.51505494,295,42,1,0,53745.11214,RECT-1241-20171205-12_54_10,710.75,3267.12,2556.37,0.782453659,-3.251997869,RECT-1256-20171205-13_20_24,962.802,1410.62,0.317461825,0.5,1513.0614,40.91018887,240.1696169,0.545589882,0.029187306,1.316087961,DARK-1257-20171205-13_20_26,641,769.62,0.581868974,0.706936469,0.639858831,0.726225077,1799.85,1513.0614,0.840659722,0.191319443,6,0.5,0: Broadleaf,1513615566,562.41,599.992,17.1969,12.8029,699.967,101.523,0.0243226,26.5786,25.3616,999.9,9997.5,0,346.574,1799.85,0.977996,0.0220042,0,964.187,1.00007,17617.9,14642.9,41.312,42,41.875,41.687,43.125,1759.27,39.58,0,155.2,962.802,7.844239343,189.8837607,17598.85769,15,100,100,-3.787,-0.005,2,397.743,702.85,25.0008,23.8106,30.0001,23.6565,23.5711,35.0912,52.549,0,25,600,12.7456,103.32,100.626
9,1513615701,1084,20171218 10:48:20,1,1,1513615701,0.005394692,50.13933421,753.529,506.346398,51.4152709,76.51461099,0.373326497,2.284633113,0.342448796,0.216591513,289.5201222,27.40937474,25.8553,3.345474575,49.83021894,1.786280861,3.584734121,1.559193715,-237.9059026,144.2556972,13.55073131,209.4206481,-0.042122701,0.047286422,3.517331814,296,42,1,0,53707.02106,RECT-1241-20171205-12_54_10,710.75,3267.12,2556.37,0.782453659,-3.251997869,RECT-1258-20171205-13_22_39,1035.327692,1578.69,0.344185564,0.5,1513.2801,50.13933421,260.4245822,0.569263123,0.035281857,1.069513331,DARK-1259-20171205-13_22_41,680,898.69,0.60461595,0.652629178,0.626036716,0.660479508,1800.11,1513.2801,0.840659793,0.191319586,6,0.5,0: Broadleaf,1513615701,753.529,799.984,17.5916,13.0495,700.089,101.518,0.0236938,27.0265,25.8553,999.9,10006.2,0,357.592,1800.11,0.977996,0.0220042,0,1036.39,1.00007,19086,14645.1,41.25,42.25,41.75,41.812,43.062,1759.52,39.59,0,134.5,1035.327692,8.836923067,467.2444443,19045.08077,15,100,100,-4.228,-0.013,2,396.519,702.877,25.0018,23.8467,30,23.6853,23.5934,44.3057,50.5955,0,25,800,13.0809,103.317,100.62
10,1513615831,1214,20171218 10:50:30,1,1,1513615831,0.005490842,55.38659838,948.002,665.6043981,67.58757576,96.26312142,0.364449564,2.287160092,0.334990494,0.21181705,289.4908326,27.73144173,26.3405,3.442845877,49.77066576,1.821592952,3.659973046,1.621252925,-242.1461125,128.262251,12.0857338,187.6927048,-0.042191734,0.047363918,3.52187901,295,42,1,0,53728.00098,RECT-1241-20171205-12_54_10,710.75,3267.12,2556.37,0.782453659,-3.251997869,RECT-1260-20171205-13_24_49,1045.237308,1622.84,0.355920912,0.5,1513.1286,55.38659838,269.2770554,0.581720934,0.038753214,1.013211407,DARK-1261-20171205-13_24_51,678.8,944.04,0.611841333,0.635269209,0.633273791,0.643208925,1799.93,1513.1286,0.840659692,0.191319385,6,0.5,0: Broadleaf,1513615831,948.002,999.93,17.9391,13.3178,700.107,101.519,0.0241628,27.3807,26.3405,999.9,10022.5,0,362.665,1799.93,0.977999,0.0220008,0,1045.12,1.00007,19375.2,14643.6,41.375,42.75,41.937,42.125,43.312,1759.35,39.58,0,129.8,1045.237308,-2.354529895,-25.95555543,19364.9,15,100,100,-4.522,-0.001,2,398.302,704.546,25.0013,23.8167,30.0001,23.6705,23.5773,53.0761,48.0355,0,25,1000,13.4048,103.318,100.623
11,1513615940,1323,20171218 10:52:19,1,1,1513615940,0.005386037,58.06627511,1144.98,835.1878539,84.81197473,116.2708657,0.351217675,2.288006094,0.323781934,0.204649809,289.4966547,27.92964036,26.5675,3.489244336,49.91136354,1.844372477,3.695295713,1.644871859,-237.524223,120.5509172,11.37714516,183.9004941,-0.042214862,0.04738988,3.523401827,294,42,1,0,53726.98881,RECT-1241-20171205-12_54_10,710.75,3267.12,2556.37,0.782453659,-3.251997869,RECT-1262-20171205-13_26_38,1024.930385,1594.49,0.357204884,0.5,1513.1619,58.06627511,270.2544104,0.569392094,0.040523273,1.049006265,DARK-1263-20171205-13_26_40,686.6,907.89,0.627344299,0.648175562,0.644487763,0.654298869,1799.97,1513.1619,0.840659511,0.191319022,6,0.5,0: Broadleaf,1513615940,1144.98,1200.04,18.1625,13.6295,699.962,101.524,0.0243814,27.5448,26.5675,999.9,10027.5,0,374.172,1799.97,0.978003,0.0219974,0,1024.77,1.00007,19029.4,14643.9,41.625,43.187,42.187,42.5,43.562,1759.4,39.57,0,108.3,1024.930385,-2.903589759,-304.9367501,18979.24615,15,100,100,-4.688,0.005,2,399.228,707.119,25.0014,23.8006,30,23.6431,23.5501,61.4963,45.6737,0,25,1200,13.6662,103.324,100.63
12,1513616064,1447.4,20171218 10:54:24,1,1,1513616064,0.005215889,59.35564275,1442.59,1106.407295,112.3537675,146.4925458,0.335974542,2.286157947,0.310758348,0.196331592,289.4918668,28.1275373,26.7022,3.517034137,49.85649487,1.857714239,3.726122832,1.659319899,-230.0206845,121.3656016,11.47916154,192.3159454,-0.042164348,0.047333175,3.520075437,293,42,1,0,53639.97659,RECT-1241-20171205-12_54_10,710.75,3267.12,2556.37,0.782453659,-3.251997869,RECT-1264-20171205-13_28_43,990.6898846,1526.45,0.350984386,0.5,1513.1367,59.35564275,265.5436775,0.559107734,0.041376064,1.140338694,DARK-1265-20171205-13_28_45,673,853.45,0.627758059,0.671005967,0.656810243,0.680914735,1799.94,1513.1367,0.840659522,0.191319044,6,0.5,0: Broadleaf,1513616064,1442.59,1499.92,18.2939,13.9046,699.948,101.523,0.0252887,27.6869,26.7022,999.9,10015.6,0,372.943,1799.94,0.978006,0.021994,0,987.542,1.00007,18329.6,14643.7,41.937,43.562,42.5,42.875,43.937,1759.37,39.57,0,123.7,990.6898846,-18.33979488,-498.8786328,18377.2,15,100,100,-5.577,0.013,2,400.642,709.326,25.0016,23.8959,30.0005,23.6954,23.6064,73.4644,43.7812,0,25,1500,13.9635,103.316,100.624
