obs,time,elapsed,date,plot,number,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Fo,Fm,Fv,Fv/Fm,Adark,LightAdaptedID,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,Afs,ETR,Fv'/Fm',PhiCO2,NPQ,DarkPulseID,Fo',Fv',qP,qN,qP_Fo,qN_Fo,Qin,Qabs,alpha,convert,S,K,Geometry,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,¦¤Pcham,Tair,Tleaf,Tleaf2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1511917106,0,20171129 08:58:25,1,1,1511917106,0.00137908,6.499590735,396.461,258.1824223,25.97238075,39.88279277,0.081420355,3.138790523,0.080264964,0.050268044,66.08076653,25.46273197,25.363,3.249145498,47.87470667,1.562060374,3.262809284,1.687085125,-60.81743503,11.94682431,0.808333154,18.01848897,-0.04163675,0.0467409,3.485247565,0,0,1,0,53371.8761,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,337.1718,6.499590735,#DIV/0!,#DIV/0!,0.019276792,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,399.97,337.1718,0.842992724,0.195985449,3.5,0.5,0: Broadleaf,1511917106,396.461,399.984,15.5279,14.8491,700.034,100.397,0.200014,25.4336,25.363,999.9,10001.2,0,0.554392,399.97,0.899985,0.100015,0,500.491,1.00001,2003.43,3390.35,36.312,40.125,38.25,39.937,39.312,359.07,39.9,0,3389,499.6262308,5.49217094,21.8731623,2000.958077,15,100,100,3.433,0.095,2,753.905,724.114,25.0001,22.4717,30.0002,22.3627,22.3193,24.8609,36.3666,0,25,400,14.8,103.948,104.486
2,1511917206,100.5,20171129 09:00:06,1,1,1511917206,0.001364445,4.811611576,297.399,193.6558682,19.48140755,29.91776691,0.080339215,3.142425263,0.079215358,0.049609263,66.06843927,25.50399983,25.3899,3.254345765,47.79856935,1.56308283,3.270145635,1.691262935,-60.17203164,13.80727611,0.933435992,20.63711973,-0.041699613,0.046811469,3.489405384,0,0,1,0,53442.39669,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,337.107099,4.811611576,#DIV/0!,#DIV/0!,0.014273243,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,399.893,337.107099,0.842993248,0.195986496,3.5,0.5,0: Broadleaf,1511917206,297.399,300.008,15.5379,14.8662,699.919,100.398,0.200075,25.4714,25.3899,999.9,10016.2,0,0.554392,399.893,0.899985,0.100015,0,483.691,1.00001,1936.63,3389.7,36.562,40.375,38.5,40.125,39.562,359,39.9,0,3489.8,483.0437692,-0.549401695,1.29264959,1937.039615,15,100,100,3.049,0.096,2,753.495,723.016,24.9999,22.48,30,22.3665,22.323,19.6795,36.4346,0,25,300,14.9454,103.941,104.478
3,1511917310,204,20171129 09:01:49,1,1,1511917310,0.001356674,2.950910795,198.338,134.1519554,13.49500522,19.95179524,0.080142462,3.136948438,0.079022137,0.049488188,66.10683526,25.55346257,25.4356,3.26319709,48.11052478,1.577710606,3.279346076,1.685486484,-59.82932287,14.05380254,0.952206082,21.28352101,-0.041604906,0.046705152,3.483140504,0,0,1,0,53317.47458,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,337.311771,2.950910795,#DIV/0!,#DIV/0!,0.008748318,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,400.137,337.311771,0.842990703,0.195981406,3.5,0.5,0: Broadleaf,1511917310,198.338,199.948,15.6838,15.0161,699.998,100.395,0.19992,25.5187,25.4356,999.9,9993.75,0,0.554392,400.137,0.900058,0.0999423,0,470.496,1.00001,1892.49,3391.85,36.812,40.562,38.75,40.312,39.75,359.25,39.89,0,3593,470.9384231,-3.297811949,-8.490598244,1892.535769,15,100,100,2.609,0.1,2,753.489,722.631,25,22.4763,30,22.3646,22.3193,14.2343,36.1833,0,25,200,14.9392,103.948,104.483
4,1511917410,304.5,20171129 09:03:30,1,1,1511917410,0.001361765,0.804686985,99.5118,80.8059371,8.128593487,10.0102913,0.080296881,3.131502797,0.079170342,0.049581362,66.1080897,25.56638057,25.455,3.2669609,48.09035959,1.578370361,3.282093073,1.688590539,-60.05383018,13.13463003,0.89162582,20.08051538,-0.041510823,0.046599535,3.476912003,0,0,1,0,53199.24297,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,337.3101719,0.804686985,#DIV/0!,#DIV/0!,0.0023856,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,400.134,337.3101719,0.842993027,0.195986054,3.5,0.5,0: Broadleaf,1511917410,99.5118,99.9819,15.6905,15.0203,699.999,100.394,0.200013,25.5328,25.455,999.9,9971.25,0,0.554392,400.134,0.899984,0.100016,0,469.188,1.00001,1888.11,3391.74,37,40.812,39,40.5,39.937,359.21,39.92,0,3693.8,469.5465769,-0.994564099,0.492991449,1887.488462,15,100,100,2.488,0.099,2,753.599,722.05,24.9999,22.4649,29.9999,22.3533,22.3081,8.53988,35.9256,0,25,100,14.9764,103.964,104.498
5,1511917511,405,20171129 09:05:10,1,1,1511917511,0.001398692,-0.293473804,50.1059,54.43693315,5.475913284,5.04024653,0.082422415,3.142449657,0.08123999,0.050879817,66.05030803,25.5743481,25.4633,3.268572348,48.04243561,1.578427379,3.285485756,1.690144969,-61.68233349,14.72222832,0.996044875,20.08624773,-0.041700035,0.046811943,3.489433289,0,0,1,0,53428.67761,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,337.0166579,-0.293473804,#DIV/0!,#DIV/0!,-0.000870799,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,399.786,337.0166579,0.842992646,0.195985292,3.5,0.5,0: Broadleaf,1511917511,50.1059,49.9942,15.6914,15.003,699.972,100.392,0.199877,25.5502,25.4633,999.9,10016.9,0,0.554392,399.786,0.899985,0.100015,0,474.576,1.00001,1907.2,3388.79,37.187,40.937,39.187,40.625,40.125,358.9,39.88,0,3794,474.7344615,0.585982903,6.280341839,1907.865385,15,100,100,2.404,0.102,2,753.924,722.103,24.9998,22.4411,30,22.3319,22.287,5.69179,35.9285,0,25,50,14.9806,103.971,104.507
6,1511917620,514,20171129 09:06:59,1,1,1511917620,0.001427534,-1.415088533,2.39218,29.23578892,2.940859816,0.240631989,0.084057629,3.135045885,0.082825341,0.051875049,66.09828061,25.58101993,25.4654,3.268980174,47.96102416,1.577006723,3.2881006,1.691973451,-62.95424271,16.59742951,1.125652771,20.86712018,-0.041572026,0.046668241,3.480964362,0,0,1,0,53268.95176,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,337.2611579,-1.415088533,#DIV/0!,#DIV/0!,-0.004195824,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,400.076,337.2611579,0.842992726,0.195985452,3.5,0.5,0: Broadleaf,1511917620,2.39218,1.68632,15.6774,14.9748,699.977,100.391,0.200088,25.5636,25.4654,999.9,9986.25,0,0.554392,400.076,0.899984,0.100016,0,486.938,1.00001,1953.93,3391.26,37.625,41.125,39.5,40.937,40.437,359.16,39.91,0,3903.2,486.0211538,3.251623935,15.46188038,1951.598462,15,100,100,2.313,0.1,2,754.199,722.193,24.9997,22.4108,30,22.3044,22.2608,0,35.81,0,25,0,15.0018,103.975,104.51
7,1511917720,614.5,20171129 09:08:40,1,1,1511917720,0.001444259,6.675458009,396.505,259.9764218,26.15066794,39.88388839,0.084861069,3.144037712,0.083608836,0.052366491,66.08310312,25.59151359,25.4823,3.272263819,47.90609031,1.576575642,3.290971213,1.695688178,-63.69181889,16.27213067,1.100609222,19.76402412,-0.041727513,0.046842789,3.491249984,0,0,1,0,53457.32928,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,337.189656,6.675458009,#DIV/0!,#DIV/0!,0.019797339,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,399.992,337.189656,0.842991,0.195982,3.5,0.5,0: Broadleaf,1511917720,396.505,400.129,15.6735,14.9627,700.011,100.389,0.199614,25.5783,25.4823,999.9,10023.8,0,0.554392,399.992,0.900058,0.0999423,0,467.085,1.00001,1882.82,3390.61,37.562,41.25,39.5,40.937,40.437,359.12,39.88,0,4003.4,465.1006154,11.23206835,42.07282056,1875.568846,15,100,100,3.474,0.101,2,754.662,723.419,24.9999,22.3818,29.9999,22.2781,22.2353,25.0093,35.81,0,25,400,15.0018,103.981,104.517
8,1511917841,735,20171129 09:10:40,1,1,1511917841,0.001485537,6.568905215,396.464,265.5737269,26.71351491,39.87949823,0.087449484,3.145360663,0.08612089,0.053943244,66.07940318,25.60273309,25.4974,3.275200165,48.0103894,1.582006932,3.295134558,1.693193233,-65.51217169,17.33032831,1.171904549,19.06946435,-0.041750409,0.046868491,3.492763451,0,0,1,0,53481.60615,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,337.172586,6.568905215,#DIV/0!,#DIV/0!,0.019482323,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,399.972,337.172586,0.842990474,0.195980948,3.5,0.5,0: Broadleaf,1511917841,396.464,400.043,15.7276,14.9965,699.987,100.388,0.199943,25.5996,25.4974,999.9,10029.4,0,0.554392,399.972,0.900058,0.0999423,0,487.196,1.00001,1960.82,3390.45,37.687,41.437,39.687,41.062,40.562,359.1,39.87,0,4124,486.3281923,3.359555562,2.725811951,1961.038077,15,100,100,3.457,0.105,2,754.295,722.988,24.9999,22.3609,30.0001,22.2558,22.2129,24.946,35.5493,0,25,400,15.0113,103.983,104.519
9,1511917941,835.5,20171129 09:12:21,1,1,1511917941,0.001530473,8.540822433,595.304,427.715207,43.02165283,59.87853973,0.090231175,3.137611764,0.088814018,0.055634233,66.08754919,25.59261438,25.4933,3.274402651,48.0365279,1.582943389,3.295291017,1.691459263,-67.49384827,18.11649251,1.228071395,17.93826482,-0.041616372,0.046718023,3.483899237,0,0,1,0,53316.76071,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,337.204857,8.540822433,#DIV/0!,#DIV/0!,0.02532829,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,400.009,337.204857,0.842993175,0.19598635,3.5,0.5,0: Broadleaf,1511917941,595.304,600.03,15.7374,14.9842,699.994,100.385,0.19981,25.6004,25.4933,999.9,9997.5,0,0.554392,400.009,0.899984,0.100016,0,517.494,1.00001,2085.54,3390.69,37.812,41.5,39.812,41.125,40.687,359.1,39.91,0,4224.8,517.1288077,2.351555554,8.998974376,2084.729231,15,100,100,4.174,0.105,2,753.987,723.414,25,22.346,29.9999,22.2405,22.1963,34.6242,35.6131,0,25,600,14.9977,103.984,104.521
10,1511918045,939.0999999,20171129 09:14:04,1,1,1511918045,0.001534101,9.202090609,794.797,610.5647625,61.41229935,79.94288941,0.090499417,3.146587152,0.089077891,0.05579954,66.08285799,25.60772587,25.5033,3.276348104,48.08297354,1.585979169,3.298421568,1.690368934,-67.65385895,19.18614902,1.297040339,18.9121884,-0.04177164,0.046892325,3.494166603,0,0,1,0,53504.5486,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,337.1827289,9.202090609,#DIV/0!,#DIV/0!,0.027291109,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,399.983,337.1827289,0.84299265,0.195985299,3.5,0.5,0: Broadleaf,1511918045,794.797,800.008,15.7679,15.0129,699.959,100.383,0.199777,25.6164,25.5033,999.9,10035,0,0.55162,399.983,0.899984,0.100016,0,524.628,1.00001,2117.42,3390.46,37.937,41.625,39.937,41.25,40.812,359.08,39.9,0,4328,524.7638462,0.31993162,1.485470067,2117.498846,15,100,100,4.86,0.104,2,753.838,723.844,25,22.3347,30.0001,22.2274,22.1831,43.6854,35.4151,0,25,800,15.0187,103.985,104.523
11,1511918149,1043.1,20171129 09:15:48,1,1,1511918149,0.001574801,9.748024501,994.314,799.2086086,80.38586041,100.0099167,0.092806276,3.142041124,0.091309876,0.057201108,66.08402711,25.59309704,25.5113,3.277905193,48.07061448,1.585129329,3.297501699,1.692775864,-69.44870257,17.0071296,1.151414749,14.79386888,-0.041692968,0.046804009,3.488965948,0,0,1,0,53408.77438,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,337.186371,9.748024501,#DIV/0!,#DIV/0!,0.028909901,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,399.987,337.186371,0.842993325,0.19598665,3.5,0.5,0: Broadleaf,1511918149,994.314,999.971,15.7596,14.9846,699.992,100.382,0.199825,25.6117,25.5113,999.9,10016.2,0,0.449058,399.987,0.899984,0.100016,0,528.276,1.00001,2131.05,3390.5,38,41.687,40,41.312,40.875,359.08,39.91,0,4432.4,527.9062308,0.900786339,0.603076927,2131,15,100,100,5.137,0.106,2,754.605,724.529,24.9999,22.3253,30.0001,22.2161,22.1738,52.3003,35.6984,0,25,1000,14.9449,103.989,104.523
12,1511918285,1179.1,20171129 09:18:04,1,1,1511918285,0.001607234,10.33629913,1193.833,985.9480193,99.16570922,120.0745818,0.09436884,3.130239632,0.092816352,0.058147577,66.07950113,25.61047075,25.535,3.282521864,47.93354025,1.582993458,3.302475572,1.699528406,-70.87900941,17.23013861,1.171199684,13.60183002,-0.041489011,0.04657505,3.475467348,0,0,1,0,53153.52233,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,337.165086,10.33629913,#DIV/0!,#DIV/0!,0.030656493,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,399.962,337.165086,0.842992799,0.195985598,3.5,0.5,0: Broadleaf,1511918285,1193.833,1199.96,15.7388,14.9479,700.061,100.379,0.200044,25.6371,25.535,999.9,9967.5,0,0.548849,399.962,0.899984,0.100016,0,534.606,1.00001,2154.07,3390.28,38.375,41.875,40.25,41.562,41.125,359.06,39.9,0,4568,533.5606154,1.19835897,3.163760694,2154.450769,15,100,100,5.47,0.104,2,754.777,724.688,24.9999,22.3234,30.0001,22.2105,22.1664,60.508,35.8961,0,25,1200,14.9331,103.985,104.522
13,1511918405,1299.6,20171129 09:20:05,1,1,1511918405,0.001607445,10.50177363,1493.469,1274.876669,128.2231573,150.2084987,0.094491389,3.127929978,0.092933773,0.058221415,66.07740967,25.63608954,25.5536,3.286149052,48.0319111,1.588662598,3.307514861,1.697486454,-70.88830826,18.41471934,1.252923321,14.85674407,-0.041449142,0.046530293,3.472825941,0,0,1,0,53099.87269,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,337.154157,10.50177363,#DIV/0!,#DIV/0!,0.031148285,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,399.949,337.154157,0.842992874,0.195985748,3.5,0.5,0: Broadleaf,1511918405,1493.469,1499.92,15.7955,15.0045,700.024,100.377,0.199911,25.6628,25.5536,999.9,9958.12,0,0.554392,399.949,0.899984,0.100016,0,539.752,1.00001,2179.91,3390.18,38.187,41.937,40.25,41.5,41.062,359.05,39.9,0,4688.6,539.9721154,2.147111103,3.020512897,2180.361923,15,100,100,5.959,0.108,2,754.862,725.619,25.0001,22.3234,30.0002,22.2105,22.1664,72.1847,35.633,0,25,1500,14.9618,103.984,104.518
